PassengerId,Survived_pred,Prob
892,0,0.10176587301587302
893,0,0.4
894,0,0.1375063975841839
895,0,0.10041600882777355
896,1,0.68
897,0,0.0
898,0,0.38
899,0,0.01
900,1,0.99
901,0,0.14
902,0,0.03549925369570378
903,0,0.32095238095238093
904,1,1.0
905,0,0.43970881895881886
906,1,1.0
907,1,1.0
908,0,0.007906349206349205
909,0,0.13400072150072145
910,0,0.04797619047619048
911,1,0.99
912,0,0.2925
913,0,0.03297619047619047
914,1,0.79
915,0,0.1275
916,1,0.96
917,0,0.01
918,1,1.0
919,0,0.13400072150072145
920,1,0.8095873015873015
921,0,0.14400000000000002
922,0,0.43970881895881886
923,0,0.49083333333333334
924,1,0.98
925,0,0.22
926,1,0.7225
927,0,0.21285340313281484
928,0,0.11
929,0,0.04
930,0,0.13444655344655337
931,1,0.6707806637806637
932,1,0.53
933,0,0.361930534334946
934,0,0.21631349206349193
935,1,0.9140208361899533
936,1,1.0
937,0,0.43250030525030536
938,0,0.4010952380952382
939,0,0.13607103495758277
940,1,1.0
941,1,0.8835
942,0,0.2925
943,0,0.01
944,1,1.0
945,1,0.96
946,0,0.02
947,0,0.0
948,0,0.03549925369570378
949,0,0.0
950,0,0.04
951,1,1.0
952,0,0.03549925369570378
953,0,0.014299000232504069
954,0,0.13607103495758277
955,1,0.9738888888888888
956,0,0.42
957,1,0.91
958,1,0.87
959,0,0.0075
960,0,0.002857142857142857
961,1,0.96
962,1,0.5774061265531855
963,0,0.03549925369570378
964,1,0.6471428571428569
965,0,0.003
966,1,1.0
967,0,0.0
968,0,0.09471878319660691
969,1,0.97
970,0,0.146823007076721
971,1,0.5774061265531855
972,0,0.01
973,0,0.29
974,0,0.32095238095238093
975,0,0.03549925369570378
976,0,0.14693280451059085
977,0,0.01
978,1,0.87
979,0,0.11
980,1,0.5774061265531855
981,0,0.04775
982,0,0.15
983,0,0.12226206554883018
984,1,1.0
985,0,0.09471878319660691
986,0,0.32095238095238093
987,0,0.4229859307359308
988,1,1.0
989,0,0.43250030525030536
990,1,0.5421666666666667
991,0,0.09471878319660691
992,1,1.0
993,0,0.43970881895881886
994,0,0.13607103495758277
995,0,0.12226206554883018
996,0,0.02
997,0,0.06666666666666667
998,0,0.0582121212121212
999,0,0.13607103495758277
1000,0,0.10041600882777355
1001,0,0.146823007076721
1002,0,0.01
1003,0,0.3650915750915752
1004,1,0.79
1005,1,0.99
1006,1,0.96
1007,0,0.01
1008,0,0.0
1009,1,0.6565952380952378
1010,1,0.56
1011,1,1.0
1012,1,1.0
1013,0,0.1641176470588235
1014,1,1.0
1015,0,0.0
1016,0,0.13607103495758277
1017,1,0.9333333333333332
1018,0,0.4229859307359308
1019,1,0.74
1020,0,0.146823007076721
1021,0,0.09471878319660691
1022,0,0.09471878319660691
1023,0,0.002857142857142857
1024,0,0.24
1025,0,0.0
1026,0,0.03549925369570378
1027,0,0.21631349206349193
1028,0,0.13400072150072145
1029,0,0.146823007076721
1030,0,0.11
1031,0,0.18115873015873013
1032,0,0.19
1033,1,0.92
1034,0,0.29
1035,0,0.0
1036,0,0.361930534334946
1037,0,0.06
1038,0,0.0
1039,0,0.09471878319660691
1040,0,0.361930534334946
1041,0,0.43970881895881886
1042,1,1.0
1043,0,0.03549925369570378
1044,0,0.0
1045,1,0.99
1046,0,0.41883333333333334
1047,0,0.0
1048,1,1.0
1049,1,0.5421666666666667
1050,0,0.361930534334946
1051,1,0.63
1052,1,0.9738888888888888
1053,0,0.01
1054,1,0.9902218296409473
1055,0,0.46483333333333327
1056,0,0.146823007076721
1057,1,0.85
1058,0,0.0
1059,0,0.2640873015873016
1060,1,0.75
1061,0,0.17
1062,0,0.0
1063,0,0.13400072150072145
1064,0,0.06
1065,0,0.21285340313281484
1066,0,0.11964285714285713
1067,1,0.99
1068,1,0.99
1069,1,0.72
1070,1,0.99
1071,1,1.0
1072,0,0.146823007076721
1073,0,0.06
1074,1,1.0
1075,0,0.13607103495758277
1076,1,0.96
1077,0,0.06333333333333332
1078,1,0.91
1079,0,0.046008086179485784
1080,0,0.03
1081,0,0.146823007076721
1082,0,0.43970881895881886
1083,0,0.32095238095238093
1084,0,0.01
1085,0,0.007906349206349205
1086,0,0.095
1087,0,0.21631349206349193
1088,0,0.26
1089,0,0.3650915750915752
1090,0,0.14693280451059085
1091,0,0.05
1092,1,0.8534999999999999
1093,0,0.0
1094,0,0.29
1095,1,1.0
1096,0,0.14693280451059085
1097,0,0.15095238095238095
